System ID,UPC,EAN,Custom SKU,Manufact. SKU,name,Vendor ID,Qty.,price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,639,Master Plumber -- 639,,1,$1.41 ,Yes,Master Plumber,No,,,0.78,Item,0.78,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q198T,Master Plumber -- Q198T,,1,$13.41 ,Yes,Master Plumber,No,,,7.43,Item,7.43,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q225C,Master Plumber -- Q225C,,1,$4.95 ,Yes,Master Plumber,No,,,2.74,Item,2.74,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q531H,Master Plumber -- Q531H,,1,$89.55 ,Yes,Master Plumber,No,,,49.59,Item,49.59,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,642,Master Plumber -- 642,,1,$1.41 ,Yes,Master Plumber,No,,,0.78,Item,0.78,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,D-21,Master Plumber -- D-21,,-3,$81.34 ,Yes,Master Plumber,No,,,45.05,Item,45.05,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,1456,Master Plumber -- 1456,,1,$26.96 ,Yes,Master Plumber,No,,,14.93,Item,14.93,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,629,Master Plumber -- 629,,1,$1.64 ,Yes,Master Plumber,No,,,0.9,Item,0.9,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,AS-6,Master Plumber -- AS-6,,1,$1.81 ,Yes,Master Plumber,No,,,1,Item,1,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,G-4,Master Plumber -- G-4,,1,$18.33 ,Yes,Master Plumber,No,,,10.15,Item,10.15,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q511RW,Master Plumber -- Q511RW,,1,$0.15 ,Yes,Master Plumber,No,,,0.08,Item,0.08,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,781,Master Plumber -- 781,,1,$308.08 ,Yes,Master Plumber,No,,,170.63,Item,170.63,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,D-4A,Master Plumber -- D-4A,,1,$10.25 ,Yes,Master Plumber,No,,,5.68,Item,5.68,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,726,Master Plumber -- 726,,1,$4.35 ,Yes,Master Plumber,No,,,2.41,Item,2.41,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q505AK,Master Plumber -- Q505AK,,1,$14.06 ,Yes,Master Plumber,No,,,7.79,Item,7.79,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,G-18,Master Plumber -- G-18,,1,$33.16 ,Yes,Master Plumber,No,,,18.37,Item,18.37,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q435,Master Plumber -- Q435,,1,$0.23 ,Yes,Master Plumber,No,,,0.12,Item,0.12,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q505BATK2BN,Master Plumber -- Q505BATK2BN,,1,$36.11 ,Yes,Master Plumber,No,,,20,Item,20,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,QW-12K,Master Plumber -- QW-12K,,1,$0.59 ,Yes,Master Plumber,No,,,0.32,Item,0.32,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,S-1K,Master Plumber -- S-1K,,1,$14.39 ,Yes,Master Plumber,No,,,7.97,Item,7.97,,,,,,,,,,,
